"zip","city","county","pop"
"94589","Vallejo","Solano","31536"
"93004","Ventura","Ventura","31525"
"95482","Ukiah","Mendocino","31482"
"93618","Dinuba","Tulare","31470"
"94107","San Francisco","San Francisco","31461"
"94132","San Francisco","San Francisco","31436"
"94102","San Francisco","San Francisco","31392"
"93101","Santa Barbara","Santa Barbara","31371"
"95661","Roseville","Placer","31315"
"95131","San Jose","Santa Clara","31236"
"92107","San Diego","San Diego","31223"
"90712","Lakewood","Los Angeles","31217"
"94801","Richmond","Contra Costa","31210"
"95070","Saratoga","Santa Clara","31196"
"94043","Mountain View","Santa Clara","31161"
"92203","Indio","Riverside","31140"
"94070","San Carlos","San Mateo","31074"
"94608","Emeryville","Alameda","31013"
"92173","San Ysidro","San Diego","31000"
"91505","Burbank","Los Angeles","30902"
"91214","La Crescenta","Los Angeles","30787"
"92673","San Clemente","Orange","30768"
"93420","Arroyo Grande","San Luis Obispo","30740"
"95472","Sebastopol","Sonoma","30736"
"93662","Selma","Fresno","30725"
"94103","San Francisco","San Francisco","30703"
"91607","Valley Village","Los Angeles","30611"
"92120","San Diego","San Diego","30550"
"90680","Stanton","Orange","30531"
"91355","Valencia","Los Angeles","30526"
"91316","Encino","Los Angeles","30499"
"94580","San Lorenzo","Alameda","30488"
"94903","San Rafael","Marin","30427"
"93654","Reedley","Fresno","30373"
"95117","San Jose","Santa Clara","30369"
"95682","Shingle Springs","El Dorado","30314"
"95824","Sacramento","Sacramento","30296"
"91731","El Monte","Los Angeles","30222"
"94602","Oakland","Alameda","30162"
"92405","San Bernardino","San Bernardino","30112"
"92110","San Diego","San Diego","30108"
"95834","Sacramento","Sacramento","30076"
"90302","Inglewood","Los Angeles","30017"
"92653","Laguna Hills","Orange","30012"
"95966","Oroville","Butte","29860"
"91356","Tarzana","Los Angeles","29822"
"94549","Lafayette","Contra Costa","29795"
"90028","Los Angeles","Los Angeles","29774"
"93704","Fresno","Fresno","29740"
"91746","La Puente","Los Angeles","29709"
"91324","Northridge","Los Angeles","29670"
"91792","West Covina","Los Angeles","29619"
"94704","Berkeley","Alameda","29597"
"92694","Ladera Ranch","Orange","29570"
"91803","Alhambra","Los Angeles","29567"
"94585","Suisun City","Solano","29525"
"94131","San Francisco","San Francisco","29523"
"90039","Los Angeles","Los Angeles","29510"
"95603","Auburn","Placer","29474"
"95212","Stockton","San Joaquin","29426"
"93035","Oxnard","Ventura","29354"
"95134","San Jose","Santa Clara","29349"
"96150","South Lake Tahoe","El Dorado","29327"
"95492","Windsor","Sonoma","29271"
"95219","Stockton","San Joaquin","29270"
"91384","Castaic","Los Angeles","29212"
"96080","Red Bluff","Tehama","29139"
"90041","Los Angeles","Los Angeles","29090"
"92604","Irvine","Orange","28990"
"93401","San Luis Obispo","San Luis Obispo","28854"
"94518","Concord","Contra Costa","28734"
"92316","Bloomington","San Bernardino","28704"
"95204","Stockton","San Joaquin","28667"
"92262","Palm Springs","Riverside","28618"
"90038","Los Angeles","Los Angeles","28580"
"95133","San Jose","Santa Clara","28565"
"93105","Santa Barbara","Santa Barbara","28545"
"95961","Olivehurst","Yuba","28489"
"94062","Redwood City","San Mateo","28423"
"94510","Benicia","Solano","28350"
"95829","Sacramento","Sacramento","28264"
"90713","Lakewood","Los Angeles","28202"
"93901","Salinas","Monterey","28194"
"90405","Santa Monica","Los Angeles","28156"
"93280","Wasco","Kern","28138"
"95370","Sonora","Tuolumne","28096"
"90710","Harbor City","Los Angeles","28045"
"91364","Woodland Hills","Los Angeles","27971"
"95363","Patterson","Stanislaus","27908"
"90061","Los Angeles","Los Angeles","27873"
"94598","Walnut Creek","Contra Costa","27831"
"90017","Los Angeles","Los Angeles","27723"
"91103","Pasadena","Los Angeles","27659"
"94559","Napa","Napa","27593"
"95618","El Macero","Yolo","27519"
"94306","Palo Alto","Santa Clara","27435"
"90270","Maywood","Los Angeles","27287"
"90035","Los Angeles","Los Angeles","27272"
"91945","Lemon Grove","San Diego","27236"
"93725","Fresno","Fresno","27214"
"92227","Brawley","Imperial","27189"
"92614","Irvine","Orange","27187"
"95409","Santa Rosa","Sonoma","27186"
"94002","Belmont","San Mateo","27155"
"92008","Carlsbad","San Diego","27151"
"90746","Carson","Los Angeles","27075"
"92868","Orange","Orange","27072"
"91042","Tujunga","Los Angeles","26966"
"93960","Soledad","Monterey","26966"
"90291","Venice","Los Angeles","26950"
"92629","Dana Point","Orange","26877"
"92860","Norco","Riverside","26849"
"94607","Oakland","Alameda","26823"
"91755","Monterey Park","Los Angeles","26803"
"94133","San Francisco","San Francisco","26796"
"91741","Glendora","Los Angeles","26794"
"91504","Burbank","Los Angeles","26749"
"91724","Covina","Los Angeles","26717"
"91302","Calabasas","Los Angeles","26712"
"91932","Imperial Beach","San Diego","26492"
"90249","Gardena","Los Angeles","26429"
"90240","Downey","Los Angeles","26413"
"95242","Lodi","San Joaquin","26409"
"91010","Duarte","Los Angeles","26380"
"91307","West Hills","Los Angeles","26341"
"91301","Agoura Hills","Los Angeles","26334"
"92284","Yucca Valley","San Bernardino","26182"
"92606","Irvine","Orange","26171"
"94530","El Cerrito","Contra Costa","26145"
"91411","Van Nuys","Los Angeles","26111"
"91784","Upland","San Bernardino","26090"
"95032","Los Gatos","Santa Clara","26047"
"95503","Eureka","Humboldt","25972"
"90304","Inglewood","Los Angeles","25946"
"90064","Los Angeles","Los Angeles","25925"
"92532","Lake Elsinore","Riverside","25923"
"94803","El Sobrante","Contra Costa","25893"
"94123","San Francisco","San Francisco","25890"
"91740","Glendora","Los Angeles","25877"
"94947","Novato","Marin","25867"
"92832","Fullerton","Orange","25837"
"94402","San Mateo","San Mateo","25703"
"95815","Sacramento","Sacramento","25673"
"92411","San Bernardino","San Bernardino","25650"
"91030","South Pasadena","Los Angeles","25637"
